Date,Open,High,Low,Close,Adj Close,Volume
2000-09-26,0.952009,0.977679,0.917411,0.918527,0.776571,290936800
2008-11-10,3.577500,3.585714,3.375000,3.424286,2.895072,1123822000
2017-05-16,38.985001,39.014999,38.680000,38.867500,36.382923,80194000
1995-08-09,0.380580,0.390625,0.379464,0.385045,0.323643,369017600
2006-05-04,2.543571,2.603214,2.516429,2.540357,2.147752,860420400
2010-03-17,8.032143,8.087500,7.973929,8.004286,6.767247,450956800
1984-08-31,0.120536,0.121094,0.116629,0.118304,0.091306,137849600
2020-04-14,70.000000,72.062500,69.512497,71.762497,69.895126,194994800
1983-10-06,0.100446,0.102121,0.097098,0.099330,0.076662,232937600
1986-05-13,0.162388,0.162946,0.157366,0.160714,0.124037,471766400
1988-12-08,0.350446,0.350446,0.345982,0.349330,0.273262,59460800
2004-02-18,0.413929,0.418571,0.411607,0.415357,0.351165,141635200
2010-08-09,9.338571,9.362500,9.270357,9.348214,7.903475,303128000
2006-11-13,2.972143,3.016071,2.951429,3.012500,2.546927,450674000
2016-07-22,24.815001,24.825001,24.577499,24.665001,22.654474,113254800
2021-08-06,146.350006,147.110001,145.630005,146.139999,143.899490,54126800
1994-03-10,0.332589,0.335938,0.328125,0.332589,0.275138,143763200
1998-01-15,0.171317,0.176339,0.166295,0.171317,0.144840,559272000
2017-10-02,38.564999,38.612499,38.180000,38.452499,36.135792,74795200
1987-06-01,0.354911,0.354911,0.345982,0.347098,0.268295,83305600
1994-02-14,0.330357,0.339286,0.328125,0.330357,0.273291,245548800
1984-06-20,0.131138,0.135045,0.128348,0.135045,0.104226,119526400
1986-01-13,0.101563,0.103237,0.100446,0.102679,0.079247,215420800
2007-11-20,5.916786,6.135357,5.840357,6.030357,5.098381,1543642800
2012-05-10,20.520714,20.567142,20.301430,20.375713,17.226702,333200000
2007-05-03,3.597500,3.623214,3.571786,3.585714,3.031552,576077600
2011-03-30,12.522857,12.531429,12.408571,12.451071,10.526790,329406000
